Iteration, Processing_Time, Distance, Area, LoopClosures, Current Error 
116, 89.383, 33.6352, 83.84, 5, 0.390854
117, 75.152, 34.011, 87.8275, 5, 0.22759
118, 105.762, 34.312, 89.0025, 5, 0.274693
119, 91.713, 34.6131, 90.95, 5, 0.291792
120, 70.345, 34.9131, 92.2175, 5, 0.28569
121, 71.208, 35.1593, 93.145, 5, 0.35212
122, 94.856, 35.4297, 96.4775, 5, 0.353877
123, 94.654, 35.7092, 98.925, 5, 0.410407
124, 103.437, 35.9642, 100.14, 5, 0.261624
125, 79.625, 36.2683, 101.83, 5, 0.291257
126, 84.188, 36.5694, 105.098, 5, 0.299148
127, 77.433, 36.8194, 105.275, 5, 0.273977
128, 98.732, 37.0706, 106.175, 5, 0.270867
129, 104.947, 37.3747, 106.883, 5, 0.307358
130, 87.09, 37.6247, 110.373, 5, 0.262421
131, 84.311, 37.876, 109.42, 5, 0.275522
132, 104.023, 38.177, 109.885, 5, 0.310433
133, 84.041, 38.438, 110.378, 5, 0.286227
134, 69.574, 38.6531, 110.358, 5, 0.216653
135, 92.409, 39.011, 110.673, 5, 0.253362
136, 99.332, 39.2803, 110.61, 5, 0.264029
137, 82.698, 39.6091, 112.323, 5, 0.313443
138, 107.992, 39.7612, 112.148, 5, 0.360271
139, 88.436, 40.162, 112.798, 5, 0.290574
140, 92.745, 40.5129, 112.988, 5, 0.282992
141, 110.225, 40.7144, 113.505, 5, 0.432541
142, 86.259, 40.928, 113.918, 5, 0.312619
143, 84.463, 41.2206, 113.915, 5, 0.255526
144, 89.792, 41.4899, 114.428, 5, 0.260261
145, 98.266, 41.7991, 114.428, 5, 0.287403
146, 99.014, 42.1251, 114.428, 5, 0.327253
147, 97.308, 42.3861, 114.818, 5, 0.28479
148, 77.411, 42.6953, 114.813, 5, 0.315039
149, 78.808, 43.0213, 114.813, 5, 0.328381
150, 96.417, 43.2725, 114.813, 5, 0.252525
151, 74.816, 43.5736, 114.813, 5, 0.29829
152, 102.044, 43.8248, 114.813, 5, 0.261334
153, 104.244, 44.0512, 114.818, 5, 0.240233
154, 79.15, 44.4543, 114.818, 5, 0.383358
155, 80.502, 44.7304, 114.818, 5, 0.260626
156, 81.137, 44.9555, 114.818, 5, 0.21455
157, 77.122, 45.3562, 117.255, 5, 0.368695
158, 78.697, 45.6312, 117.138, 5, 0.241305
159, 100.857, 45.9074, 117.98, 5, 0.241511
160, 97.656, 46.1835, 117.93, 5, 0.212033
161, 78.321, 46.4347, 118.468, 5, 0.204477
162, 76.792, 46.704, 118.383, 5, 0.196924
163, 83.614, 47.005, 119.523, 5, 0.242654
164, 86.282, 47.331, 122.94, 5, 0.276905
165, 105.031, 47.632, 124.545, 5, 0.262723
166, 90.423, 47.882, 125.458, 5, 0.231633
167, 106.714, 48.107, 127.458, 5, 0.223487
168, 86.316, 48.432, 131.655, 5, 0.302403
169, 97.663, 48.682, 134.87, 5, 0.253386
170, 109.115, 48.9571, 137.118, 5, 0.268792
171, 107.91, 49.257, 138.918, 5, 0.286726
172, 86.5, 49.507, 140.125, 5, 0.25303
173, 90.91, 49.807, 141.325, 5, 0.289771
174, 74.6, 50.0545, 143.218, 5, 0.280616
175, 97.853, 50.334, 143.705, 5, 0.266513
176, 76.096, 50.6382, 143.705, 5, 0.285124
177, 80.16, 50.8894, 143.703, 5, 0.230861
178, 128.262, 51.1444, 142.783, 5, 0.230981
179, 79.77, 51.3993, 144.158, 5, 0.227078
180, 84.092, 51.7195, 144.545, 5, 0.277951
181, 83.824, 51.9805, 144.388, 5, 0.0761517
182, 98.774, 52.2937, 143.865, 5, 0.205343
183, 100.798, 52.5487, 144.093, 5, 0.222238
184, 83.148, 52.8996, 144.005, 5, 0.233532
185, 80.142, 53.1011, 143.603, 5, 0.239522
186, 101.908, 53.4053, 144.663, 5, 0.253495
187, 92.244, 53.7063, 144.705, 5, 0.22099
188, 82.533, 54.0063, 144.61, 5, 0.230552
189, 102.851, 54.2563, 143.578, 5, 0.222413
190, 88.237, 54.5063, 145.263, 5, 0.222358
191, 92.006, 54.8156, 149.243, 5, 0.244506
192, 94.132, 55.1406, 152.145, 5, 0.256274
193, 92.537, 55.4447, 155.035, 5, 0.221518
194, 104.78, 55.6959, 156.133, 5, 0.172222
195, 94.301, 56.0001, 157.315, 5, 0.175292
196, 110.46, 56.255, 158.98, 5, 0.136318
197, 101.134, 56.5561, 160.863, 5, 0.150493
198, 96.151, 56.8073, 161.465, 5, 0.147578
199, 104.197, 57.1094, 161.83, 5, 0.119538
200, 122.012, 57.3594, 162.523, 5, 0.108085
201, 115.565, 57.6444, 163.215, 5, 0.113859
202, 137.518, 57.8957, 163.89, 5, 0.154913
203, 94.244, 58.1469, 164.618, 5, 0.146848
204, 96.15, 58.3485, 165.34, 5, 0.1991
205, 98.257, 58.64, 166.588, 5, 0.128678
206, 108.042, 58.8705, 166.628, 5, 0.101752
207, 115.777, 59.1705, 169.9, 5, 0.0459161
208, 108.761, 59.4467, 169.668, 5, 0.0510841
209, 120.748, 59.7467, 169.785, 5, 0.0398009
210, 133.319, 59.973, 171.368, 5, 0.0704879
211, 101.47, 60.2492, 172.418, 5, 0.00876529
212, 106.116, 60.6275, 174.123, 5, 0.0860101
213, 93.173, 60.858, 174.78, 5, 0.0508168
214, 99.14, 61.1375, 175.205, 5, 0.0300308
215, 124.317, 61.3125, 174.978, 5, 0.0795618
216, 129.713, 61.5125, 176.035, 5, 0.128138
217, 109.323, 61.792, 180.465, 5, 0.227545
218, 98.289, 61.9195, 181.185, 5, 0.122847
219, 111.589, 61.9985, 181.163, 5, 0.0915522
220, 105.233, 62.2344, 183.003, 5, 0.207557
221, 98.425, 62.5817, 185.273, 5, 0.319414
222, 93.751, 62.8427, 185.245, 5, 0.229938
223, 94.337, 63.0977, 186.858, 5, 0.213772
224, 112.274, 63.3587, 187.268, 5, 0.187983
225, 94.821, 63.6087, 187.268, 5, 0.19594
226, 94.537, 63.9087, 188.843, 5, 0.229977
227, 101.125, 64.1587, 188.84, 5, 0.181126
228, 97.619, 64.4875, 188.843, 5, 0.209208
229, 101.942, 64.7387, 188.843, 5, 0.148528
230, 107.571, 65.0398, 188.843, 5, 0.193578
231, 99.271, 65.2898, 188.843, 5, 0.134931
232, 103.141, 65.5447, 189.158, 5, 0.115348
233, 115.217, 65.8197, 189.158, 5, 0.11467
234, 106.6, 66.0197, 189.123, 5, 0.059941
235, 100.701, 66.3239, 189.123, 5, 0.128
236, 104.715, 66.6239, 189.123, 5, 0.113698
237, 103.249, 66.9249, 189.123, 5, 0.112509
238, 105.706, 67.1762, 189.105, 5, 0.0658059
239, 132.526, 67.4523, 189.105, 5, 0.0919307
240, 102.676, 67.6895, 188.768, 5, 0.0625392
241, 99.708, 67.8715, 190.19, 5, 0.277614
242, 99.516, 68.1452, 190.128, 6, 0.317508
243, 98.194, 68.4247, 190.128, 6, 0.11217
244, 101.58, 68.6497, 189.77, 6, 0.192129
245, 117.963, 68.9258, 190.165, 6, 0.143338
246, 139.53, 69.1563, 189.435, 6, 0.197496
247, 123.25, 69.4324, 190.323, 6, 0.163553
248, 100.778, 69.6874, 190.685, 6, 0.17382
249, 105.307, 69.9624, 190.353, 6, 0.20774
250, 105.874, 70.2419, 190.355, 6, 0.227051
251, 115.497, 70.4919, 189.955, 6, 0.232027
252, 102.283, 70.7469, 190.163, 6, 0.260779
253, 96.801, 70.9969, 193.293, 6, 0.258627
254, 124.6, 71.2979, 196.218, 6, 0.256972
255, 110.816, 71.5979, 198.18, 6, 0.293038
256, 118.849, 71.8338, 206.943, 6, 0.334156
257, 110.209, 72.1348, 210.788, 6, 0.538386
258, 124.59, 72.4702, 213.768, 6, 0.55133
259, 152.383, 72.7952, 215.203, 6, 0.533417
260, 108.996, 73.1911, 216.628, 6, 0.36194
261, 116.017, 73.4461, 217.145, 6, 0.480543
262, 117.519, 73.6961, 218.263, 6, 0.518024
263, 148.472, 73.9473, 218.908, 6, 0.544043
264, 110.142, 74.2473, 218.558, 6, 0.574264
265, 128.853, 74.3473, 218.66, 6, 0.497051
266, 127.187, 74.3473, 218.67, 6, 0.482098
267, 112.759, 74.5964, 219.095, 7, 0.598569
268, 124.501, 74.8759, 218.805, 7, 0.583514
269, 119.404, 75.178, 219.803, 7, 0.606209
270, 109.525, 75.4151, 220.178, 7, 0.551298
271, 111.434, 75.6651, 220.978, 7, 0.546962
272, 102.04, 76.0151, 221.245, 7, 0.643901
273, 109.746, 76.2167, 221.043, 7, 0.540705
274, 108.687, 76.595, 222.44, 7, 0.688551
275, 108.158, 76.8463, 222.185, 7, 0.56268
276, 108.076, 77.0478, 223.183, 7, 0.56131
277, 104.952, 77.2742, 222.818, 7, 0.609003
278, 110.334, 77.5254, 224.018, 7, 0.634548
279, 113, 77.7754, 224.175, 7, 0.688789
280, 135.926, 78.0018, 224.468, 7, 0.645478
281, 157.024, 78.2531, 224.8, 7, 0.720036
282, 115.209, 78.5043, 229.635, 7, 0.720472
283, 120.179, 78.7556, 229.603, 7, 0.719622
284, 134.729, 79.0556, 234.948, 7, 0.770669
285, 132.864, 79.3757, 235.253, 7, 0.777214
286, 113.691, 79.645, 235.785, 7, 0.711422
287, 127.92, 79.945, 236.788, 7, 0.738916
288, 117.075, 80.245, 237.888, 7, 0.726247
289, 167.929, 80.546, 239.253, 7, 0.707906
290, 140.048, 80.8311, 239.713, 7, 0.71083
291, 138.522, 81.1599, 240.485, 7, 0.746941
292, 136.888, 81.4111, 240.98, 7, 0.666902
293, 118.363, 81.7122, 241.995, 7, 0.716766
294, 111.324, 81.948, 241.988, 7, 0.621015
295, 119.684, 82.1616, 241.968, 7, 0.544857
296, 112.376, 82.419, 241.965, 7, 0.610358
297, 113.576, 82.68, 241.963, 7, 0.612317
298, 124.35, 82.93, 242.148, 7, 0.622755
299, 103.667, 83.185, 242.148, 7, 0.623105
300, 127.201, 83.486, 242.148, 7, 0.585986
301, 121.228, 83.7373, 242.148, 7, 0.534239
302, 113.398, 83.9922, 242.625, 7, 0.49961
303, 106.061, 84.3014, 242.625, 7, 0.514759
304, 125.914, 84.5527, 242.6, 7, 0.459947
305, 118.708, 84.8527, 242.593, 7, 0.441153
306, 165.505, 85.1537, 242.593, 7, 0.416331
307, 110.087, 85.4537, 242.593, 7, 0.371068
308, 109.796, 85.7537, 242.565, 7, 0.339671
309, 119.666, 86.0537, 242.565, 7, 0.312198
310, 115.481, 86.3037, 242.565, 7, 0.307203
311, 113.649, 86.555, 242.565, 7, 0.302826
312, 126.522, 86.8062, 242.565, 7, 0.279521
313, 130.435, 87.0562, 242.403, 7, 0.252784
314, 129.515, 87.3112, 242.553, 7, 0.250685
315, 126.578, 87.6112, 242.553, 7, 0.192699
316, 113.158, 87.8173, 242.548, 7, 0.347127
317, 118.574, 88.0545, 242.548, 7, 0.458698
318, 132.972, 88.3095, 242.548, 7, 0.280306
319, 114.517, 88.4862, 242.548, 7, 0.475107
320, 124.795, 88.7126, 242.573, 7, 0.410944
321, 126.852, 88.97, 242.573, 7, 0.261775
322, 110.38, 89.2792, 242.598, 7, 0.276182
323, 113.803, 89.5803, 242.598, 7, 0.263463
324, 114.175, 89.8352, 242.598, 7, 0.27272
325, 121.196, 90.1394, 242.598, 7, 0.269349
326, 138.069, 90.4004, 242.598, 7, 0.299178
327, 116.898, 90.7045, 242.598, 7, 0.307743
328, 136.23, 90.9417, 242.598, 7, 0.328846
329, 107.858, 91.1917, 242.598, 7, 0.314774
330, 105.953, 91.4181, 242.598, 7, 0.315298
331, 109.005, 91.673, 242.598, 7, 0.3144
332, 126.573, 91.9492, 242.598, 7, 0.365837
333, 129.47, 92.2492, 242.598, 7, 0.37973
334, 128.329, 92.4992, 242.598, 7, 0.404736
335, 132.117, 92.7992, 242.598, 7, 0.437484
336, 124.362, 93.1492, 242.598, 7, 0.463269
337, 125.606, 93.4492, 243.085, 7, 0.471536
338, 110.57, 93.7287, 242.955, 7, 0.507548
339, 123.068, 94.0048, 243.48, 7, 0.52743
